DoctorID,Doctor Name,Type of Doctor,ExperienceYears,Hospital / Clinic,Email,Phone,Hours Available,ActiveStatus
D001,Dr. Daniel Blake,General Practitioner,8,Tulsa General Hospital,daniel.blake@tulsageneralhospital.org,918-555-1001,Mon–Fri 9–5,TRUE
D002,Dr. Michael Gomez,General Practitioner,15,Tulsa General Hospital,michael.gomez@tulsageneralhospital.org,918-555-1002,Mon–Fri 9–5,TRUE
D003,Dr. Priya Patel,General Practitioner,5,Tulsa General Hospital,priya.patel@tulsageneralhospital.org,918-555-1003,Mon–Fri 9–5,TRUE
D004,Dr. Owen Jones,Oncologist,24,Cancer Care Center,owen.jones@cancercarecenter.org,918-555-1004,Mon–Fri 9–5,TRUE
D005,Dr. Michael Clark,Oncologist,23,Cancer Care Center,michael.clark@cancercarecenter.org,918-555-1005,Mon–Fri 9–5,TRUE
D006,Dr. Sophia Blake,Oncologist,12,Cancer Care Center,sophia.blake@cancercarecenter.org,918-555-1006,Mon–Fri 9–5,TRUE
D007,Dr. Zoe Hughes,Hematologist,22,Mercy Blood Clinic,zoe.hughes@mercybloodclinic.org,918-555-1007,Mon–Fri 9–5,TRUE
D008,Dr. Olive Gray,Hematologist,24,Mercy Blood Clinic,olive.gray@mercybloodclinic.org,918-555-1008,Mon–Fri 9–5,TRUE
D009,Dr. Isabella Brown,Hematologist,9,Mercy Blood Clinic,isabella.brown@mercybloodclinic.org,918-555-1009,Mon–Fri 9–5,TRUE
D010,Dr. Olive King,Endocrinologist,12,St. Mary’s Endocrine Center,olive.king@st.marysendocrinecenter.org,918-555-1010,Mon–Fri 9–5,TRUE
D011,Dr. Mason Johnson,Endocrinologist,15,St. Mary’s Endocrine Center,mason.johnson@st.marysendocrinecenter.org,918-555-1011,Mon–Fri 9–5,TRUE
D012,Dr. Miles Bell,Endocrinologist,18,St. Mary’s Endocrine Center,miles.bell@st.marysendocrinecenter.org,918-555-1012,Mon–Fri 9–5,TRUE
D013,Dr. Nathan Gomez,Psychiatrist,9,Metro Behavioral Health,nathan.gomez@metrobehavioralhealth.org,918-555-1013,Mon–Fri 9–5,TRUE
D014,Dr. Lily Price,Psychiatrist,15,Metro Behavioral Health,lily.price@metrobehavioralhealth.org,918-555-1014,Mon–Fri 9–5,TRUE
D015,Dr. Noah Brooks,Psychiatrist,16,Metro Behavioral Health,noah.brooks@metrobehavioralhealth.org,918-555-1015,Mon–Fri 9–5,TRUE
D016,Dr. Isabella Sanders,Neurologist,11,Tulsa Neuro Institute,isabella.sanders@tulsaneuroinstitute.org,918-555-1016,Mon–Fri 9–5,TRUE
D017,Dr. Henry Wright,Neurologist,25,Tulsa Neuro Institute,henry.wright@tulsaneuroinstitute.org,918-555-1017,Mon–Fri 9–5,TRUE
D018,Dr. Ben Wright,Neurologist,10,Tulsa Neuro Institute,ben.wright@tulsaneuroinstitute.org,918-555-1018,Mon–Fri 9–5,TRUE
D019,Dr. Leah Wright,Optometrist,20,VisionCare Optometry,leah.wright@visioncareoptometry.org,918-555-1019,Mon–Fri 9–5,TRUE
D020,Dr. Chloe Wright,Optometrist,24,VisionCare Optometry,chloe.wright@visioncareoptometry.org,918-555-1020,Mon–Fri 9–5,TRUE
D021,Dr. Isabella Brooks,Optometrist,7,VisionCare Optometry,isabella.brooks@visioncareoptometry.org,918-555-1021,Mon–Fri 9–5,TRUE
D022,Dr. Henry Rivera,ENT Doctor,16,Oklahoma ENT Center,henry.rivera@oklahomaentcenter.org,918-555-1022,Mon–Fri 9–5,TRUE
